avg_rate,geek_rate,id,num_votes,title
4.00,N/A,216738,1,Greedy Porker
3.62,N/A,216742,4,Shark Tank: The Game
N/A,N/A,216743,N/A,Korsbæk
N/A,N/A,216744,N/A,Crazy Cereal
5.00,N/A,216745,1,Lotus Game
N/A,N/A,216753,N/A,The Queen and Shoe Makers
N/A,N/A,216758,N/A,Ooops!
N/A,N/A,216781,N/A,Happy Birthday Party Game
8.00,N/A,216782,1,Drink & Beat
8.00,N/A,216784,1,The Ultimate Trivial Pursuit Question & Answer Book
5.00,N/A,216786,1,Zwei Doofe ein Gedanke
7.75,N/A,216789,4,GoRoGo
N/A,N/A,216790,N/A,MASSIVE! Attack of the Tyrant (マッシヴ!Attack of the Tyrant)
N/A,N/A,216791,N/A,Total War Cards: Punic Wars
N/A,N/A,216792,N/A,Barnstormer
N/A,N/A,216794,N/A,Pokémon TCG: Diamond & Pearl
N/A,N/A,216797,N/A,Gridiron Football: The Realistic Football Card Game
7.55,N/A,216798,8,Telestrations: 6 Player Family Pack
8.00,N/A,216799,2,Sails of Glory Ship Pack: San Juan Nepomuceno 1766 / San Francisco de Asis 1767
8.00,N/A,216800,2,Sails of Glory Ship Pack: San Augustin 1768 / Bahama 1783
8.00,N/A,216801,2,Sails of Glory Ship Pack: HMS Bahama 1805 / HMS San Juan 1805
8.00,N/A,216802,2,Sails of Glory Ship Pack: Protee 1772 / Eveille 1772
8.00,N/A,216803,2,Sails of Glory Ship Pack: HMS Prothee 1780 / HMS Argonaut 1782 Ship Pack
N/A,N/A,216804,N/A,Super Mario Kart: The Card Game
8.00,N/A,216805,2,Sails of Glory Ship Pack: HMS Leander 1780 / HMS Adamant 1780
8.67,N/A,216806,3,Sails of Glory Ship Pack: HMS Leopard 1790 / HMS Isis 1774
8.00,N/A,216808,2,Sails of Glory Ship Pack: Petit Annibal 1782 / Leander 1798
7.67,N/A,216809,3,Historical battles: England 1940
8.25,N/A,216810,2,Sails of Glory Ship Pack: Real Carlos 1787 / Conde de Regla 1786
